Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By
77493758,User can see homepage,"",1,"Aug 18, 2014","Aug 24, 2014",feature,1,unstarted,"Aug 23, 2014",,,Hunter Gillane,"As a user
When I visit the home page
Then I should see the site name and tag line

Cageflix
Netflix for Nic Cage movies",https://www.pivotaltracker.com/story/show/77493758,
77493760,User can add new movie,"",1,"Aug 18, 2014","Aug 24, 2014",feature,1,unstarted,"Aug 23, 2014",,,Hunter Gillane,"As a user
When I click ""Add Movie""
And I fill in the new movie fields and click submit
Then I see the movie information on the home page

See mockups for fields",https://www.pivotaltracker.com/story/show/77493760,
77493772,Movies require valid data,"",1,"Aug 18, 2014","Aug 24, 2014",feature,1,unstarted,"Aug 23, 2014",,,Hunter Gillane,"- name is required
- year is required
- year must be a number

See mockups for error messages",https://www.pivotaltracker.com/story/show/77493772,
77493762,"Movies should be sorted by year, most recent first","",1,"Aug 18, 2014","Aug 24, 2014",feature,1,unstarted,"Aug 23, 2014",,,Hunter Gillane,"As a user
When I visit the home page
Then I should see the movies listed in chronological order (newer movies first)
",https://www.pivotaltracker.com/story/show/77493762,
